Network,RESP,
PCA component,2,
Correlated with,Demo,
Condition,Adopted,
R,0.51618,
p,0.0082555,
HN_up,-0.19022,
EN_up,-0.97142,
HW_up,-0.24579,
EW_up,-0.96181,
HN_down,-0.11353,
EN_down,0.36095,
HW_down,-0.1418,
EW_down,0.41963,
